ofteco	kategorio	tipo	Usonangla radikvorto (Longe / sinonimo / alternativo) (tipo)	Longe / sinonimo / alternativo	EO preferata termino	fonto EO	fonto 2 EO	fonto 3 EO	fonto 4 EO	EO alternativo 1	fonto EO alternativo 1	fonto EO alternativo 2	EO alternativo 2	fonto EO alternativo 2	NL type	NL aanbevolen term	NL %	bron NL	alt 1 bron NL	alt 2 bron NL	NL alternatief	betrouwbare bron NL alt	FR type	FR terme conseillé	Accepté	source 1 FR conseillé	source 2 FR conseillé	source 3 FR conseillé	FR alternative	source FR alternative	PL tipo	Pola konsilinda termino	fonto PL konsilinda	PL alternativa termino	fonto PL alternativo
			multiplier (subst.) 		obligilo					multiplikilo	Bertin																								
			multiply (verbo) 		obligi	Maŭro																													
			multipost (verbo) 		plurafiŝi / plurafisxi	KompLeks																													
			multiprocessing   (subst.) 		plurprocesorado	KompLeks				plurtraktado		TekVort																							
			multi-processor (subst.) 		plurprocesoro					plurtraktilo	Bertin																								
			multiprocessor computer (subst.) 		plurprocesora komputilo											multiprocessorcomputer								ordinateur multiprocesseur								Mehrprozessorcomputer			
			multiprogramming (subst.) 		kunrulo	KompLeks	Aleksey Timin			plurtaskado																									
			multipurpose (adj.) 		plurcela	Bertin																													
			multirange (adj.) 		plurampleksa	OOo																													
			multiselection (subst.) 		plurelekto	OOo																													
			multisession (adj.) 		plurseanca	KDE																													
			multiset (subst.) 		pluraro	KompLeks	Aleksey Timin																												
			multi-site (subst.) 		plurreteja																			multisite		office québécois de la langue française									
			multitasking (adj.) 		plurtaska	PIV2002	KompLeks			kunrula					het	simultaan uitvoeren	60%	Stichting																	
			multitasking   (subst.) 		plurtaskado	ReVo	TekVort	Bertin								multitasking								multitâche								Multitasking			
			multithreading (multi-threading) (subst.) 		disfadenigo	KompLeks	TekVort			procezodisfadenigo						multithreading								multithreading								Multithreading			
			multi-touch (adj.) 		plurtuŝa / plurtusxa	Kono																													
			multi-touch gestures (subst.) 		plurtuŝaj gestoj / plurtusxaj gestoj																														
			mu-operator (subst.) 		mu-operatoro	KompLeks	Aleksey Timin																												
			mute (verbo) 		silentigi											dempen		Microsoft						désactiver le son								Mikro aus			
			mute key (subst.) 		senpaŝa klavo / senpasxa klavo	KompLeks	TekVort																												
			mutex (mutual exclusion) (mallon.) 		ekskluzivigo	KompLeks	Aleksey Timin																												
			muxed (adj.) 		kunigita											gemultiplexed																gemuxt			
			nagware (subst.) 		taŭgprova programo kiu insistas pri registrado / tauxgprova programo kiu insistas pri registrado																														
			name devolution (subst.) 		nomo-malcentrigo											naamafkapping								dévolution de nom											
			name registration request (subst.) 		nomregistra peto 											naamregistratieverzoek								demande d'inscription de nom								Namensregistrierungsanfrage			
			name release (subst.) 		nom-ellaso											naamvrijgave								libération de nom								Namensfreigabe			
			name resolution (subst.) 		nom-solvado											naamomzetting								résolution de noms								Namensauflösung			
			named arguments (subst.) 		nomitaj argumentoj											benoemde argumenten								arguments nommés								benannte Argumente			
			named binding (subst.) 		nomita bindado											naamgebonden koppeling								liaison nommée								benannte Bindung			
			named constant (subst.) 		nomhava konstanto	TekVort																													
			named pipe (subst.) 		nomhava dukto	KompLeks																		canal nommé											
			nameless (adj.) 		sennoma					anonima	TekVort																								
			names conflict (subst.) 		nomkonflikto	TekVort																													
			namespace (subst.) 		nomspaco	OOo									de	naamruimte			Wikipedia					espace de noms								Namespace			
			naming context (subst.) 		nomada situacio											naamgevingscontext																Namenskontext			
			NAND function (subst.) 		malkajo	KompLeks	Aleksey Timin																												
			narrowcasting (subst.) 		proksimelsendo																														
			native (adj.) 		indiĝena / indigxena	KompLeks																													
			native compiler (subst.) 		indiĝena tradukilo / indigxena tradukilo	TekVort																													
			native format (subst.) 		indiĝena prezento / indigxena prezento	KompLeks	Aleksey Timin																												
			native language (subst.) 		indiĝena lingvo / indigxena lingvo	KompLeks	Aleksey Timin																												
			native mode (subst.) 		indiĝena reĝimo / indigxena regximo	KompLeks	TekVort									native modus								mode natif								einheitlicher Modus			
			native resolution (subst.) 		origina distingivo										de	oorspronkelijke resolutie																			
			natural language (subst.) 		natura lingvo	Bertin										natuurlijke taal								langage naturel								natürliche Sprache			
			natural logarithm (subst.) 		natura logaritmo	OOo	TekVort																												
			natural number (subst.) 		natura nombro	Edmundo				pozitiva entjero	Edmundo																								
			navigate (verbo) 		navigi	OOo										navigeren		Van Dale						naviguer								navigieren			
			navigation (subst.) 		navigado	KompLeks	OOo	TekVort								navigatie																			
			navigation bar (subst.) 		naviga breto	OOo										navigatiebalk							une	barre de navigation								Navigationsleiste			
			navigation block (subst.) 		naviga bloko	Drupalo																													
			navigation link (subst.) 		navigligilo	Drupalo																													
			navigation pane (subst.) 		naviga fenestro											navigatiedeelvenster							un	volet de navigation		office québécois de la langue française						Navigationsbereich			
			navigator (subst.) 		navigilo	KompLeks	Aleksey Timin			foliumilo																									
			necessary condition (subst.) 		necesa kondiĉo / necesa kondicxo	TekVort										vereiste voorwaarde																			
			negate (verbo) 		nei	Maŭro				negacii	Bertin																								
			negation (subst.) 		neo	Maŭro				negacio	Bertin	TekVort																							
			negative (adj.) 		negativa	TekVort																													
			negative response (subst.) 		neo	KompLeks	Aleksey Timin																												
			negative testing (subst.) 		testado celante pruvi ke io ne funkcias																														
			negative acknowledgement (negative-acknowledge character, NAK) (subst.) 		negativa kvitanco	TekVort																													
			neglected account (subst.) 		neglektita konto											verwaarloosde account								compte négligé								vernachlässigte Firma			
			nerd (computer) (computer nerd) (subst.) 		komputila fanatikulo																														
			nerd (intellectual) (subst.) 		intelektulaĉo / intelektulacxo	Sonja																													
			nerd (person into knowledge) (subst.) 		sciemulo	Sonja																													
			nerd (socially inept) (subst.) 		socia mallertulo	Sonja																													
			nerd (weirdo) (subst.) 		strangulo	Sonja																													
			nested (adj.) 		ingita	KompLeks																													
			nested frames page (subst.) 		ingita kadropaĝo / ingita kadropagxo											geneste framespagina								page de cadres imbriquée								geschachtelte Framesseite			
			nested list (subst.) 		ingita listo																		une	liste imbriquée 											
			nested loop (subst.) 		ingita iteracio	TekVort																													
			nested procedure (subst.) 		ingita proceduro	TekVort																													
			nested query (subst.) 		ingita informpeto											geneste query																			
			nested table (subst.) 		ingita tabelo											geneste tabel								tableau imbriqué								geschachtelte Tabelle			
			nested type (subst.) 		ingita tipo											genest type								type imbriqué								geschachtelter Typ			
			nesting (subst.) 		ingado	KompLeks	TekVort																												
			nesting level (subst.) 		ingadnivelo	TekVort																													
			net (subst.) 		reto	KompLeks	TekVort								het	internet																			
			net user (netter) (subst.) 		retumanto					retano	ReVo				de	internetgebruiker																			
			netiquette (subst.) 		retmoroj	KompLeks	TekVort									nettiquette		Van Dale	Taalunie					nétiquette								Netiquette			
			netizen (subst.) 		retlandano	KompLeks										netizen		Van Dale																	
			netnews (subst.) 		forumaro	TekVort																													
			network (subst.) 		loka reto	KompLeks	TekVort	FEL		reto					het	netwerk	100%	Van Dale					un	réseau								Netzwerk			
			network-transparant (network transparant) (adj.) 		maŝinsendependa / masxinsendependa																														
			network access (subst.) 		retaliro 																														
			network access protection (subst.) 		retalira protekto											netwerktoegangsbeveiliging								protection d'accès réseau								Netzwerkzugriffsschutz			
			network access server (subst.) 		retalira servilo											netwerktoegangsserver								serveur d'accès réseau								Netzwerkzugriffsserver			
			network adapter (subst.) 		retalira adaptilo											netwerkadapter								carte réseau								Netzwerkkarte			
			network adapter driver (subst.) 		retalira adaptilpelilo											stuurprogramma voor netwerkadapter								pilote de carte réseau								Netzwerkkartentreiber			
			network address (subst.) 		retadreso																														
			network address translation (subst.) 		retadresa traduko										de	netwerkadresomzetting								traduction d'adresses réseau								Netzwerkadressenübersetzung			
			network administrator (subst.) 		administranto de loka reto											netwerkbeheerder								administrateur réseau								Netzwerkadministrator			
			network bandwidth throttling (subst.) 		trafiklimigo en loka reto											netwerkbandbreedtebeperking								limitation de bande passante réseau								Netzwerk-Brandbreiteneinschränkung			
